Park Code,Park Name,State,Acres,Latitude,Longitude,nearest_airport_name,airport_lat,airport_lon,airport_state,distance_km
ACAD,Acadia National Park,ME,47390,44.35,-68.21,Bangor International Airport,44.80744,-68.82814,ME,70.6
ARCH,Arches National Park,UT,76519,38.68,-109.57,Canyonlands Field,38.75496,-109.75484,UT,18.07
BADL,Badlands National Park,SD,242756,43.75,-102.5,Rapid City Regional Airport,44.04532,-103.05737,SD,55.43
BIBE,Big Bend National Park,TX,801163,29.25,-103.25,Midland International Airport,31.94253,-102.20191,TX,315.75
BISC,Biscayne National Park,FL,172924,25.65,-80.08,Miami International Airport,25.79325,-80.29056,FL,26.43
BLCA,Black Canyon of the Gunnison National Park,CO,32950,38.57,-107.72,Montrose Regional Airport,38.50887,-107.89383,CO,16.58
BRCA,Bryce Canyon National Park,UT,35835,37.57,-112.18,Cedar City Regional Airport,37.70097,-113.09858,UT,82.19
CANY,Canyonlands National Park,UT,337598,38.2,-109.93,Canyonlands Field,38.75496,-109.75484,UT,63.56
CARE,Capitol Reef National Park,UT,241904,38.2,-111.17,Canyonlands Field,38.75496,-109.75484,UT,137.78
CAVE,Carlsbad Caverns National Park,NM,46766,32.17,-104.44,Roswell International Air Center,33.30156,-104.53056,NM,126.11
CHIS,Channel Islands National Park,CA,249561,34.01,-119.42,Santa Barbara Municipal Airport (Santa Barbara Airport),34.42621,-119.84037,CA,60.3
CONG,Congaree National Park,SC,26546,33.78,-80.78,Columbia Metropolitan Airport,33.93884,-81.11954,SC,35.98
CRLA,Crater Lake National Park,OR,183224,42.94,-122.1,Rogue Valley International Airport,42.37423,-122.8735,OR,89.21
CUVA,Cuyahoga Valley National Park,OH,32950,41.24,-81.55,Cleveland Hopkins International Airport,41.41089,-81.8494,OH,31.4
DENA,Denali National Park and Preserve,AK,3372402,63.33,-150.5,Fairbanks International Airport,64.81368,-147.85967,AK,209
DEVA,Death Valley National Park,"CA, NV",4740912,36.24,-116.82,McCarran International Airport,36.08036,-115.15233,NV,150.76
DRTO,Dry Tortugas National Park,FL,64701,24.63,-82.87,Key West International Airport,24.55611,-81.75956,FL,112.57
EVER,Everglades National Park,FL,1508538,25.32,-80.93,Miami International Airport,25.79325,-80.29056,FL,82.97
GAAR,Gates Of The Arctic National Park and Preserve,AK,7523898,67.78,-153.3,Deadhorse Airport (Prudhoe Bay Airport),70.19476,-148.46516,AK,330.34
GLAC,Glacier National Park,MT,1013572,48.8,-114,Glacier Park International Airport,48.3114,-114.25507,MT,57.48
GLBA,Glacier Bay National Park and Preserve,AK,3224840,58.5,-137,Gustavus Airport,58.42438,-135.70738,AK,75.65
GRBA,Great Basin National Park,NV,77180,38.98,-114.3,Cedar City Regional Airport,37.70097,-113.09858,UT,176.65
GRCA,Grand Canyon National Park,AZ,1217403,36.06,-112.14,Flagstaff Pulliam Airport,35.13845,-111.67122,AZ,110.89
GRSA,Great Sand Dunes National Park and Preserve,CO,42984,37.73,-105.51,Pueblo Memorial Airport,38.28909,-104.49657,CO,108.39
GRSM,Great Smoky Mountains National Park,"TN, NC",521490,35.68,-83.53,McGhee Tyson Airport,35.81249,-83.99286,TN,44.29
